MÊS,2011,2012,2013,2014,2015,2016,2017,2018
01 - JAN,175313,176159,212203,205811,239821,242014,236749,245492
02 - FEV,130890,128567,154771,150950,157081,173710,154240,172312
03 - MAR,135269,130979,161828,158027,156544,156982,166921,177458
04 - ABR,125055,129328,145903,147258,144026,147405,144097,153230
05 - MAI,117815,123772,143091,134585,140995,138375,141656,152955
06 - JUN,104523,130138,142561,118926,139526,131534,140023,156220
07 - JUL,135718,148590,171888,156752,178671,189513,198606,207606
08 - AGO,114306,132855,154392,144471,153361,157391,165129,176194
09 - SET,120575,139172,152156,146426,148887,146330,165616,166680
10 - OUT,128153,148178,165995,170082,165707,161899,174424,
11 - NOV,123178,156263,155428,168723,158089,157515,171228,
12 - DEZ,139087,175927,183221,191678,199685,192804,209581,
